source_irn,source_sku,source_invoice_link
IRNOkFi2NlSVYy0ABtl,SEVP1E0KY0440AB0FFBB,https://udaan.azureedge.net/document-receipt/g92qwbel0rt72e4p8avu.jpg
IRNy5agHTG4z5R7uS7O,S0W0BE54C574902CA927,https://udaan.azureedge.net/document-receipt/4q6fonurizlxw7dphjv9.jpg
IRNwMUlyE5HOl2EcXsM,SED95394DA94F2C8266D,https://udaan.azureedge.net/document-receipt/vyc62uge94txhtbyodv8.jpg
IRNSBywSsmHBpnpPR3V,S92X2BDEHXD3C8890N8P,https://udaan.azureedge.net/document-receipt/ct28snaep5rvh9kiz5jf.jpg
IRNuhxgnhSzUqeKFsKg,S9X5Y40F49BA4E8B40F4,https://udaan.azureedge.net/document-receipt/erfx9ootmdxh9sfjws29.jpg
IRNbRV9OapQJO2uTPgM,SDC0013ADFC1034587DC,https://udaan.azureedge.net/document-receipt/2fx8ojkoka3293pfec03.jpg
IRNjSJKiW9Tb7hqPEw4,S041EF40CD844704D43C,https://udaan.azureedge.net/document-receipt/4hp5nu00v196gbkg3p7h.jpg
IRNyDpeo1agq6CWz9WZ,SDT44154FQF3XF9G0BF5,https://udaan.azureedge.net/document-receipt/y4orqyah0m1av63mqsmg.jpg
IRNwNReSW455KBdIQLq,S6E9DBCE1D6WD03059E8,https://udaan.azureedge.net/document-receipt/9sk3ubzm7qnh0pgdy0vr.jpg
IRNCRmHIiPGM4q2J6A9,S2D462H88CF47994649F,https://udaan.azureedge.net/document-receipt/igtjt46tlowzb484zqtm.jpg
IRNO4caCyXaKXVjm6ls,S3E7T7767N315D9PPC77,https://udaan.azureedge.net/document-receipt/i1y6j6k41gowpcirpt3r.jpg
IRND2Kzos20pDuuro4O,SFF4447A4AGLZ2BEAG9E,https://udaan.azureedge.net/document-receipt/vcy06qdq0qjymtko8dz3.jpg
IRNm41zN33LTJQwiJab,S00PD4DZ6AQFE4PF6D89,https://udaan.azureedge.net/document-receipt/hb71083cqx5x3fps71g3.jpg
IRN2SB9gSWxvSz0z8tc,S3APE6H09001WH78SBN6,https://udaan.azureedge.net/document-receipt/gr6cprj6n9wjug65zcju.jpeg
IRN81Bs4MCjnFxXoJ64,S9F920292B113D22WWFF,https://udaan.azureedge.net/document-receipt/0ztl0i1ik363oebd9whw.jpg
IRNy5agHTG4z5R7uS7O,S140D79FBP631NPC0FC4,https://udaan.azureedge.net/document-receipt/4q6fonurizlxw7dphjv9.jpg
